order_id,customer_id,order_date,Order Status,sub_total,order_total,total_quantity,Product Details,day,month,coupon
3649,1583,16/12/2018,Shipped,109.0,98.1,1,"Product ID: 525, Product Qty: 1, Product SKU: 1050-Black-M, Product Name: EveryWear Luxury Pant, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 109.00, Product Total Price: 109.00",16,12,True
3643,1146,11/12/2018,Shipped,144.0,129.6,2,"Product ID: 509, Product Qty: 2, Product SKU: 401-Black-XL, Product Name: Crew Neck, Short Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 72.00, Product Total Price: 144.00",11,12,True
3653,570,18/12/2018,Shipped,150.0,135.0,2,"Product ID: 632, Product Qty: 1, Product SKU: 2000-White-L, Product Name: Droop Neck, 3/4 Sleeve, White, Product Weight: 0.3000, Product Variation Details: Size: L, Product Unit Price: 78.00, Product Total Price: 78.00|Product ID: 633, Product Qty: 1, Product SKU: 2000-SlateGray-L, Product Name: Droop Neck, 3/4 Sleeve, Slate Gray, Product Weight: 0.3000, Product Variation Details: Size: L, Product Unit Price: 72.00, Product Total Price: 72.00",18,12,True
3642,545,11/12/2018,Shipped,156.0,140.4,2,"Product ID: 590, Product Qty: 1, Product SKU: 2000-Navy-XL, Product Name: Droop Neck, 3/4 Sleeve, Navy, Product Weight: 0.3000, Product Variation Details: Size: XL, Product Unit Price: 78.00, Product Total Price: 78.00|Product ID: 632, Product Qty: 1, Product SKU: 2000-White-XL, Product Name: Droop Neck, 3/4 Sleeve, White, Product Weight: 0.3000, Product Variation Details: Size: XL, Product Unit Price: 78.00, Product Total Price: 78.00",11,12,True
3641,539,11/12/2018,Shipped,179.0,161.1,3,"Product ID: 555, Product Qty: 1, Product SKU: 802-White-XL, Product Name: Turtleneck, Long Sleeve, White, Product Weight: 0.3000, Product Variation Details: Size: XL, Product Unit Price: 84.00, Product Total Price: 84.00|Product ID: 596, Product Qty: 1, Product SKU: 3000-White-One Size, Product Name: Scarf, White, Product Weight: 0.3000, Product Variation Details: One Size: Yes, Product Unit Price: 35.00, Product Total Price: 35.00|Product ID: 631, Product Qty: 1, Product SKU: 402-ChiliPepperRed-XL, Product Name: Crew Neck, Long Sleeve, Chili Pepper Red, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 60.00, Product Total Price: 60.00",11,12,True
3816,452,16/06/2019,Shipped,476.0,333.2,6,"Product ID: 661, Product Qty: 1, Product SKU: 501-Black-S, Product Name: Tank, Product Weight: 0.3500, Product Variation Details: Color: Black, Size: S, Product Unit Price: 74.00, Product Total Price: 74.00|Product ID: 661, Product Qty: 1, Product SKU: 501-SlateGray-S, Product Name: Tank, Product Weight: 0.3500, Product Variation Details: Color: Slate Gray, Size: S, Product Unit Price: 74.00, Product Total Price: 74.00|Product ID: 662, Product Qty: 1, Product SKU: 230-White-S, Product Name: Scoop Neck - 3/4 Sleeve, Product Weight: 0.3500, Product Variation Details: Color: White, Size: S, Product Unit Price: 80.00, Product Total Price: 80.00|Product ID: 662, Product Qty: 1, Product SKU: 230-SlateGray-S, Product Name: Scoop Neck - 3/4 Sleeve, Product Weight: 0.3500, Product Variation Details: Color: Slate Gray, Size: S, Product Unit Price: 80.00, Product Total Price: 80.00|Product ID: 668, Product Qty: 1, Product SKU: 601-White-S, Product Name: Camisole, Product Weight: 0.3500, Product Variation Details: Color: White, Size: S, Product Unit Price: 84.00, Product Total Price: 84.00|Product ID: 668, Product Qty: 1, Product SKU: 601-Black-S, Product Name: Camisole, Product Weight: 0.3500, Product Variation Details: Color: Black, Size: S, Product Unit Price: 84.00, Product Total Price: 84.00",16,06,True
3813,1453,11/6/2019,Shipped,80.0,56.0,1,"Product ID: 662, Product Qty: 1, Product SKU: 230-Black-L, Product Name: Scoop Neck - 3/4 Sleeve, Product Weight: 0.3500, Product Variation Details: Color: Black, Size: L, Product Unit Price: 80.00, Product Total Price: 80.00",11,6,True
3812,1614,10/6/2019,Shipped,84.0,58.8,1,"Product ID: 656, Product Qty: 1, Product SKU: 9001-White-M, Product Name: Men's Crew Neck, Product Weight: 0.4500, Product Variation Details: Color: White, Size: M, Product Unit Price: 84.00, Product Total Price: 84.00",10,6,True
3810,971,9/6/2019,Shipped,168.0,117.6,2,"Product ID: 656, Product Qty: 2, Product SKU: 9001-Black-L, Product Name: Men's Crew Neck, Product Weight: 0.4500, Product Variation Details: Color: Black, Size: L, Product Unit Price: 86.44, Product Total Price: 172.87",9,6,True
3814,879,11/6/2019,Shipped,222.0,161.9,3,"Product ID: 661, Product Qty: 1, Product SKU: 501-White-S, Product Name: Tank, Product Weight: 0.3500, Product Variation Details: Color: White, Size: S, Product Unit Price: 74.00, Product Total Price: 74.00|Product ID: 661, Product Qty: 1, Product SKU: 501-Ivory-S, Product Name: Tank, Product Weight: 0.3500, Product Variation Details: Color: Ivory, Size: S, Product Unit Price: 74.00, Product Total Price: 74.00|Product ID: 661, Product Qty: 1, Product SKU: 501-Black-S, Product Name: Tank, Product Weight: 0.3500, Product Variation Details: Color: Black, Size: S, Product Unit Price: 74.00, Product Total Price: 74.00",11,6,True
2366,1276,9/2/2016,Shipped,62.0,48.9,1,"Product ID: 512, Product Qty: 1, Product SKU: 601-Black-XS, Product Name: Camisole, Black, Product Weight: 0.3500, Product Variation Details: Size: XS, Product Unit Price: 66.74, Product Total Price: 66.74",9,2,True
2368,213,10/2/2016,Shipped,261.0,182.7,4,"Product ID: 501, Product Qty: 1, Product SKU: 301-Black-XS, Product Name: V-Neck, Short Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: XS, Product Unit Price: 63.80, Product Total Price: 63.80|Product ID: 511, Product Qty: 1, Product SKU: 501-Black-M, Product Name: Tank, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 63.80, Product Total Price: 63.80|Product ID: 512, Product Qty: 1, Product SKU: 601-Black-XS, Product Name: Camisole, Black, Product Weight: 0.3500, Product Variation Details: Size: XS, Product Unit Price: 63.80, Product Total Price: 63.80|Product ID: 552, Product Qty: 1, Product SKU: 1070-Black-XS, Product Name: Legging, Product Weight: 0.3000, Product Variation Details: Size: XS, Product Unit Price: 77.18, Product Total Price: 77.18",10,2,True
4177,792,28/10/2020,Shipped,160.0,112.0,2,"Product ID: 660, Product Qty: 2, Product SKU: 402-Black-XL, Product Name: Luxury Crew Neck - Long Sleeve, Product Weight: 0.3500, Product Variation Details: Color: Black, Size: XL, Product Unit Price: 80.00, Product Total Price: 160.00",28,10,True
4174,673,27/10/2020,Shipped,168.0,117.6,2,"Product ID: 658, Product Qty: 1, Product SKU: 802-Bluestone-M, Product Name: Luxury Turtleneck - Long Sleeve, Product Weight: 0.3000, Product Variation Details: Color: Bluestone, Size: M, Product Unit Price: 84.00, Product Total Price: 84.00|Product ID: 658, Product Qty: 1, Product SKU: 802-Navy-M, Product Name: Luxury Turtleneck - Long Sleeve, Product Weight: 0.3000, Product Variation Details: Color: Navy, Size: M, Product Unit Price: 84.00, Product Total Price: 84.00",27,10,True
4173,1731,27/10/2020,Shipped,238.0,166.6,3,"Product ID: 658, Product Qty: 1, Product SKU: 802-Black-S, Product Name: Luxury Turtleneck - Long Sleeve, Product Weight: 0.3000, Product Variation Details: Color: Black, Size: S, Product Unit Price: 84.00, Product Total Price: 84.00|Product ID: 660, Product Qty: 1, Product SKU: 402, Product Name: Luxury Crew Neck - Long Sleeve, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 80.00, Product Total Price: 80.00|Product ID: 665, Product Qty: 1, Product SKU: 301-White-M, Product Name: Luxury V-Neck - Short Sleeve, Product Weight: 0.3500, Product Variation Details: Color: White, Size: M, Product Unit Price: 74.00, Product Total Price: 74.00",27,10,True
4179,769,29/10/2020,Shipped,240.0,168.0,3,"Product ID: 667, Product Qty: 2, Product SKU: 202-Natural-L, Product Name: Luxury Scoop Neck - Long Sleeve, Product Weight: 0.2000, Product Variation Details: Color: Natural, Size: L, Product Unit Price: 80.00, Product Total Price: 160.00|Product ID: 667, Product Qty: 1, Product SKU: 202-White-L, Product Name: Luxury Scoop Neck - Long Sleeve, Product Weight: 0.2000, Product Variation Details: Color: White, Size: L, Product Unit Price: 80.00, Product Total Price: 80.00",29,10,True
1705,1027,2/12/2014,Shipped,69.0,60.7,1,"Product ID: 495, Product Qty: 1, Product SKU: 202-Natural-M, Product Name: Modest Scoop, Long Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00",2,12,True
1690,1013,2/12/2014,Shipped,69.0,60.7,1,"Product ID: 554, Product Qty: 1, Product SKU: 402-Navy-XS, Product Name: Crew Neck, Long Sleeve, Navy, Product Weight: 0.3500, Product Variation Details: Size: XS, Product Unit Price: 74.26, Product Total Price: 74.26",2,12,True
1715,1033,5/12/2014,Shipped,69.0,60.7,1,"Product ID: 608, Product Qty: 1, Product SKU: 230-Black-M, Product Name: Scoop Neck, 3/4 Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 74.26, Product Total Price: 74.26",5,12,True
1722,1036,8/12/2014,Shipped,69.0,60.7,1,"Product ID: 500, Product Qty: 1, Product SKU: 302-Black-XL, Product Name: V-Neck, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 69.00, Product Total Price: 69.00",8,12,True
1725,1039,8/12/2014,Shipped,71.0,62.3,1,"Product ID: 555, Product Qty: 1, Product SKU: 802-White-L, Product Name: Turtleneck, Long Sleeve, White, Product Weight: 0.3000, Product Variation Details: Size: L, Product Unit Price: 73.06, Product Total Price: 73.06",8,12,True
1687,1010,2/12/2014,Shipped,91.0,78.3,3,"Product ID: 521, Product Qty: 2, Product SKU: 1031-Black-M, Product Name: Thong, Black, Product Weight: 0.1000, Product Variation Details: Size: M, Product Unit Price: 10.76, Product Total Price: 21.52|Product ID: 558, Product Qty: 1, Product SKU: 802-Black-XL, Product Name: Turtleneck, Long Sleeve, Black, Product Weight: 0.3000, Product Variation Details: Size: XL, Product Unit Price: 76.41, Product Total Price: 76.41",2,12,True
